Cremant ouvert au service, jour par jour - exercice 2024-2025
Source : ANNEXE-C, detail des tickets. Doses retenues par le service (reponse du 04/09/2026, p. 62) : cocktails 6 cl, verre 12 cl. Bouteille = 75 cl. Une bouteille de cremant ouverte n'est pas reservable au lendemain : le solde du soir est perdu.

Date;Cremant vendu (cl, doses carte);Verse a +0,0 % (cl);Bouteilles ouvertes +0,0 %;Jete le soir +0,0 % (cl);Verse a +2,5 % (cl);Bouteilles ouvertes +2,5 %;Jete le soir +2,5 % (cl);Verse a +5,0 % (cl);Bouteilles ouvertes +5,0 %;Jete le soir +5,0 % (cl);Verse a +7,5 % (cl);Bouteilles ouvertes +7,5 %;Jete le soir +7,5 % (cl);Verse a +10,0 % (cl);Bouteilles ouvertes +10,0 %;Jete le soir +10,0 % (cl);Verse a +12,5 % (cl);Bouteilles ouvertes +12,5 %;Jete le soir +12,5 % (cl);Verse a +15,0 % (cl);Bouteilles ouvertes +15,0 %;Jete le soir +15,0 % (cl);Verse a +17,5 % (cl);Bouteilles ouvertes +17,5 %;Jete le soir +17,5 % (cl);Verse a +20,0 % (cl);Bouteilles ouvertes +20,0 %;Jete le soir +20,0 % (cl);Verse a +23,6 % (cl);Bouteilles ouvertes +23,6 %;Jete le soir +23,6 % (cl)
2024-05-23;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2024-05-24;18,0;18,0;1;57,0;18,4;1;56,5;18,9;1;56,1;19,3;1;55,7;19,8;1;55,2;20,2;1;54,8;20,7;1;54,3;21,2;1;53,8;21,6;1;53,4;22,2;1;52,8
2024-05-25;78,0;78,0;2;72,0;79,9;2;70,1;81,9;2;68,1;83,8;2;66,2;85,8;2;64,2;87,8;2;62,2;89,7;2;60,3;91,7;2;58,3;93,6;2;56,4;96,4;2;53,6
2024-05-26;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2024-05-29;78,0;78,0;2;72,0;79,9;2;70,1;81,9;2;68,1;83,8;2;66,2;85,8;2;64,2;87,8;2;62,2;89,7;2;60,3;91,7;2;58,3;93,6;2;56,4;96,4;2;53,6
2024-05-30;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2024-05-31;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2024-06-01;84,0;84,0;2;66,0;86,1;2;63,9;88,2;2;61,8;90,3;2;59,7;92,4;2;57,6;94,5;2;55,5;96,6;2;53,4;98,7;2;51,3;100,8;2;49,2;103,8;2;46,2
2024-06-02;18,0;18,0;1;57,0;18,4;1;56,5;18,9;1;56,1;19,3;1;55,7;19,8;1;55,2;20,2;1;54,8;20,7;1;54,3;21,2;1;53,8;21,6;1;53,4;22,2;1;52,8
2024-06-05;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2024-06-06;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2024-06-07;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2024-06-08;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2024-06-09;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2024-06-12;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2024-06-13;102,0;102,0;2;48,0;104,5;2;45,5;107,1;2;42,9;109,6;2;40,4;112,2;2;37,8;114,8;2;35,2;117,3;2;32,7;119,9;2;30,1;122,4;2;27,6;126,1;2;23,9
2024-06-14;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2024-06-15;129,0;129,0;2;21,0;132,2;2;17,8;135,5;2;14,5;138,7;2;11,3;141,9;2;8,1;145,1;2;4,9;148,3;2;1,7;151,6;3;73,4;154,8;3;70,2;159,4;3;65,6
2024-06-16;168,0;168,0;3;57,0;172,2;3;52,8;176,4;3;48,6;180,6;3;44,4;184,8;3;40,2;189,0;3;36,0;193,2;3;31,8;197,4;3;27,6;201,6;3;23,4;207,6;3;17,4
2024-06-19;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2024-06-20;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2024-06-21;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2024-06-22;102,0;102,0;2;48,0;104,5;2;45,5;107,1;2;42,9;109,6;2;40,4;112,2;2;37,8;114,8;2;35,2;117,3;2;32,7;119,9;2;30,1;122,4;2;27,6;126,1;2;23,9
2024-06-23;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2024-06-26;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2024-06-27;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
